names	celltype
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_206	PGCs
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_206	Tailbud
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_206	0
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_206	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_206	10
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_206	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_206	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_206	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_206	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_206	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_206	PGCs
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_206	2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_206	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_206	2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_206	Somite_wavefront
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_206	0
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_206	10
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_206	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_206	9
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_206	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_206	0
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_206	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_206	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_206	NeuralTube1
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_262	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_262	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_262	0
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_262	NeuralTube_Somites
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_262	9
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_262	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_262	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_262	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_262	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_262	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_262	9
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_262	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_262	PGCs
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_262	0
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_262	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_262	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_262	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_262	9
