	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
182	Kmt2a	2.5876202263643796e-46	14.571519
183	Iqsec1	2.685297911712525e-46	14.568846
28897	Sf1	5.831898838519701e-46	-14.515621
28896	Igfbp5	7.676507861561031e-46	-14.496623
28895	Alyref	8.42605874415923e-46	-14.490084
28894	Gsr	8.706010793724379e-46	-14.487697
28893	Plekhj1	9.43034050959075e-46	-14.482064
184	Aplp1	1.68060947511249e-45	14.442158
28892	Atp5j2	1.7568332648523883e-45	-14.43896
28891	Srsf6	1.886764904570268e-45	-14.4339
28890	D8Ertd738e	2.4004902989145024e-45	-14.417145
28889	Rbx1	2.9762089857391016e-45	-14.402156
28888	Bub1b	4.153966616994667e-45	-14.378958
28887	Chaf1b	4.5311915422344456e-45	-14.3728
28886	Mrto4	6.233655055496028e-45	-14.350555
28885	Psmb1	6.817346162133493e-45	-14.344207
28884	Lage3	8.42596554681712e-45	-14.329361
28883	Hoxb5os	1.0621296144009299e-44	-14.313131
185	Nbea	1.132204785479315e-44	14.308549
186	Mllt11	1.6173657468842367e-44	14.283584
28882	H2afy2	1.8372135980324311e-44	-14.274562
28881	Smn1	1.9661630364787456e-44	-14.269692
187	Gpm6b	1.9988535673471127e-44	14.268404
28880	Atad3a	2.2640716251157065e-44	-14.259573
28879	Exo1	3.151937098567259e-44	-14.236326
188	Scg3	3.171591299216728e-44	14.235753
189	Nktr	3.382062688089964e-44	14.231123
28878	Pdap1	3.5189129284965173e-44	-14.228211
28877	Etf1	3.8142786027651514e-44	-14.222436
28876	Mtch1	5.36009026581319e-44	-14.198473
28875	Tipin	5.367849503725898e-44	-14.198234
28874	Sparc	6.957628165078421e-44	-14.179904
28873	Taf15	6.958250119956969e-44	-14.179761
28872	Slc25a5	7.141100284496363e-44	-14.177804
28871	Serpinh1	7.91937638574651e-44	-14.170404
28870	Sf3b3	9.763653653034247e-44	-14.15556
28869	Srsf2	1.1260676430452523e-43	-14.145391
28867	Psmb2	1.1385989432782402e-43	-14.144341
28868	Cfdp1	1.1385989432782402e-43	-14.144437
28866	Kmt5a	1.162929018602284e-43	-14.142718
28865	Trim27	1.3929709292172704e-43	-14.129878
190	Rnf38	1.4657764389502636e-43	14.126155
191	Arhgap21	1.6227553779762698e-43	14.118852
28864	Rrm1	1.6914028376786603e-43	-14.115796
28863	Psmd2	2.1847149351285654e-43	-14.0976095
192	Zfp462	2.1894276127053002e-43	14.097323
28862	Eif3l	2.189711169997019e-43	-14.097179
193	Tanc2	2.476747608184433e-43	14.088349
194	Dll3	2.6235299885937338e-43	14.084148
28861	Tram1	2.977149030085776e-43	-14.075079
28860	Dcp2	3.1406886296717674e-43	-14.071164
28859	Mthfd1	4.9217070155416026e-43	-14.03923
28858	Nop56	5.2617576288763885e-43	-14.034361
28857	Rsl24d1	6.037039114956794e-43	-14.02448
28856	Lmnb1	7.076523471389986e-43	-14.013071
28855	Hspa8	8.128469111973682e-43	-14.003095
