index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_349,64.45207,60.202015
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_125,33.291237,18.15469
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_56,68.30434,64.55059
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_128,54.855366,48.948837
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_300,29.686087,13.096096
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_149,32.580585,17.61905
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_186,29.462723,13.189186
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_235,30.784739,14.297657
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_101,29.353878,13.039009
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_156,31.453272,15.374096
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_298,55.021458,49.274563
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_135,28.86406,11.773015
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_204,31.785055,15.730701
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_74,33.00179,18.08297
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_361,33.73453,18.875227
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_120,34.19674,19.406471
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_333,32.148327,16.23423
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_153,33.61217,18.763514
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_335,34.05022,19.25184
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_375,35.861248,21.752722
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_346,32.906593,18.003752
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_147,34.59414,20.102592
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_320,30.185764,14.0587435
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_197,29.504475,13.134461
